peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7925001136125387,N/A,112.14025991953827,0.5606083736672764
1,1.8375001200433967,N/A,112.4110511496632,0.40858532730658464
2,2.122500160772163,0.0269611252414248,254.7879310241231,2.607331202194515
3,2.1575001657739414,N/A,5.52898598719986e-07
4,2.1975001714902596,N/A,126.25451947050823,1.1094187156977091
5,2.337500191497373,0.02952270950725122,85.92899144231023,0.8991483640897172
6,2.4925002136481056,0.049167240531355905,56.658420555133034,0.29617605919351286
7,2.702500243658776,0.05344885477559824,64.1153379628592,2.723362400371142
8,2.8475002643804292,N/A,58.95822632952638,0.05275552998193592
9,2.932500276527605,0.03537977281240057,649.2901029769324,4.047853741835377
10,3.027500290103861,0.049892866081676424,379.2231497633045,1.2156647974551194
11,3.0925002993928774,0.034944583985242694,267.5368288719903,1.367128815501919
12,3.442500349410661,N/A,86.77907906860486,0.41951271548413965
13,3.5225003608432974,0.04569294477653241,94.81998147239852,0.5038144967758015
14,3.6725003822794906,N/A,67.95682211626331,0.4055991273595806
15,3.7725003965702855,0.05843363188250272,70.00816237072024,0.08018321574526814
16,3.967500424437336,0.04917668239785389,72.50291666409606,0.4269617060089372
17,4.162500452304387,N/A,101.30277965804197,1.2102426737008571
18,4.252500465166103,N/A,97.27816800436511,3.1405978381880457
19,4.5225005037512505,N/A,30.131753443815,0.5462689023788954
20,4.632500519471126,0.06416007484267627,29.842753239818876,0.6956263125035165
21,4.757500537334619,0.053708563651881036,25.755349068619008,0.2750730836866872
22,4.862500552339954,N/A,40.03877105020752,0.6888347078293077
23,5.082500583779704,0.08602087887974363,171.98116850618004,48.968809012600616
