peakNumber,peakLocation,FWHM,intensity,% Error
0,1.9225001321905726,N/A,34.88286818376251,1.3350867668466098
1,1.9975001429086694,N/A,30.920935671301674,2.122688728984442
2,2.267500181493816,0.0277727839927997,33.27417506557593,13.480491780907144
3,2.7475002500896335,N/A,111.1876337740832,15.747748474306366
4,2.892500270811287,N/A,86.85250398889002,0.8232197351874844
5,3.512500359414218,0.48841176329172287,46.20703197753771,2.445850800721558
6,4.147500450160768,N/A,21.523724047137662,1.6451241806392871
7,4.542500506609409,N/A,13.412873927773159,0.6082131814429292
8,5.062500580921545,0.24233919542931126,80.070694492967,17.82145843577696
