peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8375001200433967,0.025542134845027764,451.203223062165,0.8296826004975083
1,2.122500160772163,0.025729395297982016,440.90133522430307,2.0353701558179944
2,2.2075001729193393,0.028916527938209757,103.44831214014698,0.4126901010955825
3,2.337500191497373,0.029991230894280463,73.1269980439879,0.2563846279302549
4,2.4975002143626455,0.04850676910992746,56.97225126059834,1.0737532659752467
5,2.717500245802395,0.04629231111605048,78.5414837547159,1.187002981558612
6,3.0025002865311614,0.033163793983351564,1204.572816015921,4.941652563655557
7,3.0975003001074173,N/A,168.0412847056321,0.46960693386919883
8,3.5225003608432974,0.04224979565658016,271.3552795910304,0.8554775190739716
9,3.67750038299403,0.03911040425092782,146.4969402651593,0.09752470425669116
10,3.7825003979993657,N/A,97.87384212106758,0.2795601479215978
11,3.9775004258664164,0.07429531429318681,94.4012098852088,0.33220338487852646
12,4.1125004451589895,0.048450368554418866,87.34805719837226,0.10691787463806529
13,4.252500465166103,0.05419752464316918,232.03534141991554,4.297531780504645
14,4.632500519471126,0.049161701649813594,95.42816395838261,2.229322128559142
15,4.752500536620079,0.05272032182635744,90.18036082990395,0.5069307149497605
16,5.052500579492466,N/A,56.74121975838173,1.7376338117321484
17,5.2025006009286585,0.05143618385128246,212.10179419667867,232.20718819800936
