peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7975001143270786,0.06010578292331381,38.98945939601805,8.275977191587412
1,2.057500151483146,0.1269030783665388,51.87485642347531,3.0910303064163083
2,2.367500195784612,N/A,12.968533350415385,1.8521049527970932
3,2.6175002315116,0.049536417605425154,13.07623674541395,1.5700040941778064
4,2.707500244373316,N/A,13.863213425186702,0.3172582263751785
5,2.922500275098525,0.04957407796317037,717.1676224579207,3.2068565002431986
6,3.432500347981582,N/A,49.94012966914789,5.387136111768153
7,3.5325003622723767,N/A,33.96023407076353,1.2265091070218759
8,3.8625004094320015,N/A,17.44395289713748,0.5356034271749138
9,4.137500448731688,0.06488337287971824,111.4480321696634,2.690346540192675
10,4.502500500893092,0.08914088259989406,17.308370179797805,2.818623000881166
11,5.062500580921545,0.10708699419622736,201.56305495434412,26.300681204697323
