peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7925001136125387,0.07004715178460752,36.344224438124286,0.713924638396347
1,2.047500150054067,0.14904593651923537,48.94069561524162,4.235767932309472
2,2.362500195070072,N/A,18.806502037564712,1.7293322289539343
3,2.60750023008252,0.04397265590655497,34.215833274980014,1.0024737596166928
4,2.702500243658776,0.04030120188403208,33.88948556385702,1.2497767143479264
5,2.9175002743839857,0.05074223041445869,588.1021139089069,4.8301869849373995
6,3.3275003329762467,N/A,21.940413499045178,1.6615497449817729
7,3.432500347981582,N/A,41.82307673082812,0.4103472920596696
8,3.5225003608432974,N/A,40.364343050046045,1.1539520732276134
9,3.8625004094320015,N/A,17.397996654371468,0.2045658522996247
10,3.937500420150098,0.024772376970632948,15.975819803238267,0.019812029557745546
11,4.127500447302609,0.07951508218689707,76.35558959684192,3.4844375916878576
12,4.387500484458676,N/A,11.895711684438425,0.9882862774175454
13,4.512500502322171,0.06450784030772816,16.86344539415171,0.650830627312113
14,4.597500514469346,N/A,13.862106682515615,0.6100525235988186
15,4.712500530903761,0.05792442162647227,13.942019775405301,0.881682049866073
16,5.067500581636085,0.12276866279206633,155.07335884077418,21.20525341678341
