peakNumber,peakLocation,FWHM,intensity,% Error
0,1.9225001321905726,N/A,31.475512070228092,1.6761548528127699
1,1.9875001414795894,N/A,32.51500687215224,2.112115861148793
2,2.267500181493816,0.03498899219992602,17.58944558274993,5.901113224805256
3,2.7475002500896335,0.3414837466361127,86.79572236832269,4.045319844306156
4,3.512500359414218,0.42692925241019175,36.91184124797974,1.3570839319586225
5,4.142500449446228,0.20275644162428108,15.18845091945741,1.872965038821048
6,5.057500580207005,0.25574375291224705,78.49080012412406,18.231838735447944
