peakNumber,peakLocation,FWHM,intensity,% Error
0,1.9175001314760327,0.03826140401977929,73.74365230191364,4.457217125354859
1,2.262500180779277,0.02299619989737378,122.08498251598371,4.424321406836581
2,2.6225002322261393,N/A,58.987640352884114,13.23870859773816
3,2.7475002500896335,0.033442380477334055,194.84571886507672,2.1155372023892087
4,2.887500270096747,N/A,73.95847755510783,1.904751443758481
5,3.3025003294035473,N/A,20.264519538958893,0.5232535255812234
6,3.422500346552502,N/A,30.748724266136094,0.875532795780471
7,3.512500359414218,0.0838916712629576,35.59191193590715,0.27111862490391936
8,3.742500392283047,0.038152877679567876,35.12335859715091,0.1998067165168066
9,3.832500405144762,N/A,23.30279877662764,5.294240129828977
10,4.147500450160768,0.04870113547313348,29.097857597415327,2.506131525065769
11,4.542500506609409,0.057805712497803086,22.14178880561974,3.958477915053609
12,4.687500527331063,0.0630678479470852,22.08663759863788,1.675760064561607
13,5.052500579492466,0.23856987101813942,77.17634771044266,16.55056064065463
