peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7925001136125387,N/A,121.33004937112071,1.6268988523807562
1,1.8375001200433967,N/A,126.69428797231473,0.906985483603439
2,2.122500160772163,0.02825546357668518,224.1264527230926,3.089360557507571
3,2.162500166488481,N/A,3.2395125134826374e-05
4,2.1975001714902596,N/A,98.36735844648678,0.4502136617606943
5,2.337500191497373,0.031749895357087166,69.60923791707398,1.5416774394942445
6,2.4925002136481056,0.052789594271166695,54.54629578860681,3.337854714251842
7,2.702500243658776,0.05480669446209996,61.40434640949019,2.586634523843038
8,2.932500276527605,0.035685190937449374,795.2637091466875,6.727749766903518
9,3.012500287960241,0.05560876596448461,359.1187593331946,3.355414570169726
10,3.0925002993928774,N/A,178.01416220494764,1.5775101808894132
11,3.442500349410661,N/A,95.54219711178672,0.3537515513546669
12,3.5225003608432974,0.04504193522588862,101.261585927672,0.2716749456659378
13,3.6725003822794906,0.09315332932169751,71.65468075844967,0.6175400436552734
14,3.7725003965702855,N/A,66.00978121036627,0.29490228435822247
15,3.967500424437336,0.05972757075163937,64.43909608537967,0.6891923082563236
16,4.157500451589848,0.083493313263582,113.06936268321459,0.8032490884560723
17,4.252500465166103,N/A,94.66207292137443,1.4679513057491944
18,4.52750050446579,N/A,33.04647946013159,1.5026249822597169
19,4.6375005201856645,0.06566341070725112,32.64721874136171,1.0878842310096632
20,4.757500537334619,0.05761504438944076,26.993831108562745,1.5608174140914635
21,4.857500551625415,N/A,34.44311124031657,0.19571932232007863
22,5.0875005844942445,0.08049559684297414,192.18308626595802,51.19389155200207
