peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8375001200433967,0.021408968866553524,688.2156653883121,1.5899903294042117
1,2.122500160772163,0.019673516360947385,583.9248316900419,1.909621450420677
2,2.377500197213691,N/A,63.82487305232826,0.5996008371261887
3,2.60750023008252,0.03198279445755059,65.56412062007996,0.07476738171038813
4,2.707500244373316,0.04472231278936922,69.35190614386977,0.17406729099619847
5,2.767500252947793,N/A,63.65971433152231,0.02028790324827393
6,3.0025002865311614,0.02515896237642501,1538.7328915089347,3.9630775044103626
7,3.5225003608432974,0.032874030721964154,384.7109256543323,1.586933970558756
8,3.67750038299403,0.04441614848289799,167.09213628658364,0.420010545046168
9,4.257500465880643,0.03448542929641807,325.9209611382658,4.028275284399919
10,4.632500519471126,0.04085207012200254,139.20972056251662,0.9660873137402933
11,4.757500537334619,0.04251293004328538,137.49351831109345,2.3527262712986268
12,5.052500579492466,0.15689878130951485,73.33913080753764,0.43360503634681064
13,5.207500601643198,0.04515763367476744,289.44556024538366,135.70903505204757
