peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8375001200433967,0.019593962967775713,653.1552700770603,1.6031800468411745
1,2.122500160772163,0.020196424084496734,567.9933181513428,2.790160882844229
2,2.232500176492038,0.032814553315769324,125.11515947862819,1.1380755375894567
3,2.337500191497373,N/A,69.34267263177622,1.9267511670455164
4,2.5025002150771853,N/A,56.995005801453146,0.8978935385299798
5,2.752500250804174,0.026533801188741712,66.34909846362842,0.5526127097164044
6,3.0025002865311614,0.023619377768488548,1657.0818908933422,1.2875534294876247
7,3.102500300821957,0.031201255917812087,140.47993878470493,1.3123573181837374
8,3.5225003608432974,0.028843385487969275,378.26606307148955,1.1434667668366854
9,3.67750038299403,0.0321467760020413,173.06038503780513,0.6073536496646157
10,3.7925003994284445,N/A,95.75489279155721,0.18707314019006455
11,3.9875004272954957,N/A,86.05508295079676,0.15990915984795862
12,4.147500450160768,N/A,85.26185147695111,0.06754736435220253
13,4.252500465166103,0.03269059761059445,322.84063488253815,3.497881843565751
14,4.632500519471126,0.037559420681859024,136.5970200392445,1.356120450345315
15,4.752500536620079,0.03711181411898945,144.11041872539306,0.35564871917558216
16,5.052500579492466,0.14501792518267198,74.65138230616282,0.939887129036787
17,5.2025006009286585,0.04251139668328374,327.5925196071402,256.47086339694926
