peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8375001200433967,0.0216951533098122,627.3200416972576,1.3544194703043122
1,2.122500160772163,0.02465923388692204,378.39908328261225,1.1299027601739904
2,2.342500192211913,0.045211607921285424,61.99770814301354,0.1748296171463769
3,2.597500228653441,N/A,72.28437034016531,0.41405731526031914
4,2.717500245802395,0.04770753914595671,90.91437159325164,0.428341305216134
5,3.0025002865311614,0.025025972422768827,1427.4107103792062,4.090349568896421
6,3.5225003608432974,0.03308001611183409,350.1631422712359,0.9446063507916085
7,3.67750038299403,0.04342833481852848,156.6952633659181,0.6233822445962292
8,4.0875004415862914,N/A,82.66504940265645,0.07375955568137231
9,4.247500464451563,0.04002107946162958,251.0844407312619,0.7047838250904976
10,4.632500519471126,0.036895194036883794,133.98610949229732,0.4943144760267743
11,4.752500536620079,0.04264311554357647,127.03286832994928,1.5210308059628843
12,5.057500580207005,0.16131787771045225,73.53449610725521,0.5059724898030198
13,5.2025006009286585,0.04243865766549959,275.7039716044534,42.82235784193082
