peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8375001200433967,0.02894325297395617,339.789843533195,2.0292265720184424
1,2.122500160772163,0.027798854021576336,306.108636639032,1.679411244062399
2,2.1925001707757197,N/A,100.0740902093587,0.36317098935762493
3,2.3325001907828335,0.04043554588496123,82.03700121648029,0.21029004828139766
4,2.487500212933566,0.06912729213738311,73.68914863583058,0.29575415607921657
5,2.702500243658776,0.0633581927743938,79.76853942820992,0.5595682870134203
6,2.932500276527605,N/A,561.9656578287035,1.066630575960422
7,3.0025002865311614,0.03833797333718314,827.5483341872728,1.3763434137375017
8,3.082500297963798,N/A,151.3377318455735,0.8665858993657091
9,3.5225003608432974,0.0559378577559877,223.28489629053098,1.8931181111622744
10,3.67750038299403,0.06257315259354179,145.83560182030084,0.5368995674200326
11,3.967500424437336,0.05948649223121416,105.70205340716478,0.1569102059728544
12,4.167500453018927,N/A,138.93640428598758,0.26854566301079136
13,4.252500465166103,N/A,184.58663641547895,1.4259530372817064
14,4.632500519471126,0.05838898092975775,91.390315464823,0.33568930550354686
15,4.752500536620079,0.060577094200180426,76.938363326348,0.5928089470179823
16,5.0875005844942445,0.07978039483792543,156.93863275380022,1.0778155017920095
17,5.2025006009286585,N/A,142.59765011964288,63.51830129332252
