peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8325001193288568,0.03530544985330897,104.61208430131775,0.29592108880060314
1,1.9275001329051122,0.037261976669024754,69.79691850111207,1.0639960701732432
2,2.0275001471959078,0.021683385613842976,39.88227070033618,0.002568365775473222
3,2.1175001600576238,0.04832475901793831,61.103993178966775,0.6799116009683255
4,2.267500181493816,0.0348302270345231,47.85798082999007,0.4586407799833914
5,2.362500195070072,N/A,18.679215798481252,0.45043197746763436
6,2.6325002336552195,N/A,79.75368629752704,0.8995279605104626
7,2.692500242229696,N/A,84.23594215049924,0.694591035609067
8,2.752500250804174,0.03272244664366486,145.01644229473828,0.3516951252101381
9,2.9125002736694463,N/A,249.85772819327286,1.041460602338237
10,2.9925002851020825,N/A,253.92578951716763,0.5253473841646561
11,3.317500331547167,N/A,58.31519146109669,0.46909759499396564
12,3.432500347981582,N/A,81.2168408133113,0.15589972365392366
13,3.5175003601287576,0.05532793483563925,105.08277454256766,0.6346874142779066
14,3.662500380850411,0.050816508881277755,66.29749673550506,0.11659289771162414
15,3.737500391568507,N/A,59.07525532768413,0.18593452489654969
16,3.852500408002922,N/A,49.86750060862802,0.5883952746701454
17,4.147500450160768,0.09712183371142302,56.23502607567366,0.5749857592794718
18,4.242500463737024,N/A,49.880089058750286,1.3576467266069079
19,4.53750050589487,N/A,27.02788479342719,0.3544477095108047
20,4.622500518042045,0.0381586136338079,24.98234425366368,0.6066643161413767
21,4.722500532332841,0.0834641115734076,24.687607188233823,1.0061335098481257
22,5.062500580921545,N/A,103.82774535029255,1.392560561426526
23,5.182500598070499,N/A,63.68025967212567,20.653736067906912
