peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7975001143270786,0.030933188554384428,99.14428494000316,0.7790027698251277
1,2.022500146481368,N/A,42.39619190860412,0.7923703239207767
2,2.077500154341305,N/A,50.98796855287577,0.9513971048335349
3,2.262500180779277,N/A,20.780225940799937,1.1337954237507384
4,2.487500212933566,0.029602563390724868,14.992925839071004,0.32687799665922507
5,2.562500223651663,0.03451381634244477,19.748392173026616,1.4607222872592318
6,2.722500246516935,0.02176284393211869,12.93917241853916,0.11849402171437293
7,2.937500277242145,0.038768798427859075,1013.7586719885715,12.848630317967574
8,3.447500350125201,0.058894677044754484,83.09164566687946,1.1474860677525238
9,3.5825003694177746,N/A,45.25888341281984,0.573136933966953
10,3.9425004208646373,N/A,26.764942245722295,0.2014591052134257
11,4.167500453018927,0.04894475718250835,157.56456447715658,1.5993348598529757
12,4.3825004837441375,N/A,14.946157503017048,0.43727811899653757
13,4.5225005037512505,0.06360563894751525,25.978789485278128,0.571437242940438
14,4.652500522329284,0.07429409339500648,13.271523191167262,1.9237907488400694
15,5.092500585208783,0.07997575961293979,258.293135032919,29.19834679391621
