peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8325001193288568,0.0834754105282991,47.42410276572258,2.469086461319571
1,2.042500149339527,0.19664253319892633,54.41292978141939,2.5525993265603883
2,2.267500181493816,N/A,26.93353049164392,0.8397203265236396
3,2.357500194355532,0.04776759111339235,23.585891502734967,0.9041295156140695
4,2.4975002143626455,0.02585607456040151,17.094182514663714,0.2403684928432995
5,2.60750023008252,N/A,47.975310029096875,0.8415018378739102
6,2.697500242944236,0.035777471566117214,56.37125297412916,0.2987841616448888
7,2.7575002515187133,N/A,52.44575370840977,0.6023027368855686
8,2.9125002736694463,0.05473259706289735,452.8706741144406,11.585326229018492
9,3.322500332261707,N/A,34.270718272655415,1.1792337061683837
10,3.4375003486961213,N/A,49.64812607136156,0.11214434579544712
11,3.5175003601287576,0.05708262605766956,63.110713012085,0.4725103052254113
12,3.6475003787067912,N/A,36.64423235816207,0.9661605748010146
13,3.8675004101465413,N/A,29.62078601679667,1.1557130887480023
14,4.122500446588069,0.10073826686712106,61.60391828532249,2.4066140283910724
15,4.387500484458676,0.04499921766640114,16.69487480710177,0.4909177111816966
16,4.577500511611188,0.1407490094185384,18.836109588723616,1.1924332589851503
17,4.712500530903761,0.06777437265676767,21.485090212800348,0.5285431189117871
18,5.062500580921545,0.14912408659436238,141.37255448734095,28.157090001092634
