peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8375001200433967,0.03532402025009129,55.507136324015164,1.8196702267691593
1,1.9325001336196523,N/A,41.52784811893872,0.05830993633586606
2,2.017500145766828,0.10402069376183398,41.56474176569225,0.37107239089719535
3,2.1175001600576238,N/A,43.47984419254243,0.5414217540909718
4,2.267500181493816,0.035968767867865736,20.583677725768155,0.5412982760332606
5,2.357500194355532,0.052638953490671714,13.752247645953958,0.9248309691771098
6,2.422500203644549,N/A,14.604249088900872,0.008365416606226873
7,2.692500242229696,N/A,71.42568497542999,3.5458535311451906
8,2.7575002515187133,N/A,92.54447835231105,0.1864730320751556
9,2.8475002643804292,N/A,99.85455140411739,0.01282378202037479
10,2.9025002722403666,0.03958161546471173,123.86074649959983,0.3564150729590547
11,2.997500285816622,N/A,126.70172107501355,0.4021832855404744
12,3.2225003179709115,N/A,6.490355302571776e-05
13,3.317500331547167,N/A,38.543461090806375,0.3090832893877173
14,3.5175003601287576,0.08368200158553307,62.39926239284915,3.069120498476069
15,3.6725003822794906,N/A,43.7178006170011,1.0467818287336645
16,4.10750044444445,0.10383684528590553,26.255619173920365,0.38545421045073697
17,4.252500465166103,N/A,25.879563515843188,0.4876309616508364
18,4.367500481600518,N/A,16.986203386196337,0.22240556443876713
19,4.557500508753028,N/A,19.69419060150517,0.7080823871900663
20,4.627500518756585,0.05513054470345935,22.047253601733473,0.27295582617612296
21,4.762500538049159,N/A,25.729411429270666,0.28888244125028995
22,5.067500581636085,0.253768112536747,85.50829106756288,22.482207385748055
