peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7975001143270786,0.05331512561378515,39.752423298527106,0.7465199484166215
1,2.057500151483146,0.1537369055661375,52.05808482756714,3.4186228380814683
2,2.357500194355532,N/A,16.057080348695536,0.46278790418131627
3,2.442500206502708,N/A,12.571959126468698,0.07540642056566554
4,2.4975002143626455,0.032475714279899925,11.689238518810782,0.1395517279183832
5,2.6175002315116,0.04823629040198485,14.016687846741661,1.2526749518090028
6,2.717500245802395,0.050695554724236924,14.164086302112366,0.4892451531730781
7,2.922500275098525,0.04673786234378907,739.4140377366,4.148187108351187
8,3.4375003486961213,N/A,48.722840182279754,1.1251298448163505
9,3.5175003601287576,N/A,35.56574800503154,1.0689065580170183
10,4.142500449446228,0.06095793594733401,116.94911521138266,1.8600315845305737
11,4.422500489460456,0.02918630005809586,10.526050251490403,0.22966291729083518
12,4.507500501607631,0.07273825588126215,16.646524920611967,1.034825830401473
13,4.622500518042045,0.030020786136789823,11.067186244869276,0.14135999456950324
14,5.072500582350624,0.1006980557823729,205.9389704170561,26.110775072129062
