peak,curve,x0,y0,I,alpha,gamma,FWHM
0,0,1.917070569924894,7.540828693445293,3.1340738406337625,0.008347005249656448,0.007203108239562421,0.02840671522553567
0,1,2.005693242496224,9.142226216572345e-06,4.577259762138883,0.08828748967566111,3.8285420636513947e-07,0.20790153219941632
1,0,2.261943066546051,0.5760278774826205,5.240820712505117,0.007540658835072579,0.005117997018014952,0.02377004379768716
1,1,2.256500179921829,9.999999999999999e-11,1.2793965043161847e-10,0.22000003133974966,0.22000003133974966,0.7914431729578272
2,0,2.621758811365246,0.0020183216242544984,3.9385489172294545,0.01004258040218786,0.011436477484905812,0.03816297764182392
2,1,2.5660507504477064,0.4019097373444792,1.2034152988278162,1.0633630819988562e-05,0.054221884309373705,0.1084421449911364
3,0,2.684190926647679,1.942551403335524,2.004648836508691,0.023910259135477226,6.896526983680448e-17,0.05630435749410623
3,1,2.6395002346555754,15.988038256281168,0.43062911163970197,0.009559063775757846,5.520362879116322e-32,0.022509874990883808
4,0,2.7416985203858846,0.16844281966310162,5.1470916865229475,0.012292298410850638,1.0894744997429116e-13,0.028946150697481816
4,1,2.745694124511656,45.05044581298011,3.2532084652422135,0.01729492939080057,0.00789201334635185,0.04958284617039182
5,0,2.884558423584083,1.490511296379349,0.4340923111810785,0.013514135169215607,2.4849486725564297e-19,0.03182335638772663
5,1,2.893950759337253,9.167297520770472,10.472842716309993,0.05551188533165723,0.0467634431332965,0.1873318342385375
6,0,3.2941909099541387,0.01010992485205664,0.5836934854507241,0.015951014903115478,0.009189158672393427,0.04814038399823887
6,1,3.3703907594975218,11.740992713346676,0.3833383612824371,0.03279345827918296,6.176341641627769e-13,0.07722269290232209
7,0,3.413876655565039,15.92796515330834,0.9256420002659257,0.01462752794122735,0.008867690962907572,0.04471642568440231
7,1,3.4882503559486997,3.2363704803167748e-06,1.2331116949729255,0.057474905415050154,4.125316217943286e-06,0.13534717324414464
8,0,3.5083035094277224,4.307032276091168,1.0243620701800422,0.015436720792953254,0.011390136986758177,0.04988319018853143
8,1,3.581154751998388,15.6284220468226,0.8625874710093372,2.7231527065891576e-21,0.049789469498465515,0.09957893899693103
9,0,3.7361843215569173,0.6249469409247078,1.457329358767724,0.011108615456261399,0.009470826297916358,0.037644278848940324
9,1,3.6972503858164645,13.062251582066017,0.1827323823761881,0.019409661264598126,4.3820292182903176e-16,0.04570625941313688
10,0,3.83388776519811,0.1731964299008379,1.1916244143260555,0.015737853353189824,0.011301315104628826,0.05043740233623303
10,1,3.9329857833620747,8.30292130343759,0.027582078866228533,0.010057401007602591,9.270077030096369e-15,0.023683369493626295
11,0,4.142670047990906,8.75874339354655e-06,2.1386973644434732,0.012796948999965281,0.011684514157603564,0.044450777417893016
11,1,3.9225004180064786,1.6153309345021853,2.902682146938446,0.25863193630932896,0.0006858881427730781,0.6097161870239959
12,0,4.535673231861255,1.3974644247263792,1.825455869935705,0.00515965470627204,0.01654786194768481,0.0374599411223813
12,1,4.613359005232715,2.551903697620082,0.5005590015898087,0.02864061597530106,5.433970403722169e-34,0.06744349660067257
13,0,4.682975871406462,0.00034477322400178575,2.2140883187132565,0.010807700567728581,0.022793189390043277,0.057749518331965184
13,1,4.778790040459796,1.7380272693983052,0.9334462612738927,0.030598883181255518,0.0205384574161192,0.09615069512622063
14,0,5.058228213628355,5.804184591347704e-23,14.227028730897572,0.09343561137113429,5.1739783603194e-20,0.22002405057646873
14,1,4.8792072049537785,1.0144064953884877e-22,7.2935850423985755,9.271026052555555e-22,0.1034119479600267,0.20682389592005337
