peak,curve,x0,y0,I,alpha,gamma,FWHM
0,0,1.7909570851414156,6.866732866199362,3.886199142648046,0.014998716471203238,0.0008786462653972878,0.03621075259765115
0,1,1.8236386822087245,4.795223959417199,1.449873034069173,0.0069333938173027475,0.015126629336283219,0.03789744677386139
1,0,2.0658003240763017,2.001529648881915,0.5244209108757697,0.012599088536346878,8.265609404235054e-12,0.029668586242751798
1,1,2.052806778539138,9.554502987729949,8.449234951955562,0.048478551523817054,0.07644367593572907,0.21684041131491952
2,0,2.9233133973723255,0.03621450518254883,58.99065363502264,0.010877193918210768,0.013300940899678109,0.04269801961984218
2,1,2.9876873132779838,7.2457067483379625,1.19033742760748,0.018666992760468328,0.005418888788872381,0.04980683864795694
3,0,3.432296881320597,14.322134361484965,4.510501080685037,0.013359713560333029,0.01684698553890928,0.053212688794404016
3,1,3.571850511751312,3.48731399922778,6.6789123089599975,0.14746641787506304,2.4603557747813156e-09,0.34725687923459475
4,0,4.14256455720903,7.714829491554211,9.03447143017001,0.016180719497749775,0.013657431603448228,0.05464097093609592
4,1,4.137740472359446,0.4654767132992361,3.235767063989529,0.12718004957908463,4.2397835358092475e-27,0.2994861300768584
5,0,4.511267689203886,6.520020061962502,2.020359908906571,0.014489111476207408,0.022242532591917108,0.06385193907634797
5,1,4.599161107345652,0.00026634732854506626,0.18877017993765063,0.019581037816242125,6.161174715664033e-30,0.046109820352196004
6,0,4.623639672565177,8.805644566478062,0.4778565414277255,0.028605693368726263,5.5952826607322844e-11,0.06736126020248209
6,1,4.659749926009624,0.004571105861238323,5.5948953290009963e-11,0.1450000206216533,0.1450000206216533,0.5216330002359273
7,0,5.068283094096906,9.491614316157028e-28,35.99104355728771,0.0037468113753327107,0.03948651852400866,0.07987973067609425
7,1,4.937456585367089,1.2423540222912062e-26,5.502742646113848,6.332295731748594e-15,0.12047551034565199,0.24095102069130298
