peak,curve,x0,y0,I,alpha,gamma,FWHM
0,0,1.8322247494583486,32.74318391205364,9.907314148245904,0.00700460756186052,0.010756478768276699,0.030874163118660126
0,1,1.9160111758476435,0.16790480406217567,8.653659834894537,0.1600000228627663,0.16000002286248738,0.5755950351306365
1,0,1.9252258722800013,0.15931006446054854,0.44726551485749644,0.006390925016248164,0.00973163468572895,0.02803926816225232
1,1,1.9387485673352023,52.600083876265714,0.165589810370588,0.005208415541958315,0.007769108397584878,0.022596774637338755
2,0,2.1176574748378423,8.077886107480712e-16,4.43056742491686,0.00758327752851191,0.012513667255355989,0.03480543099113505
2,1,1.9726863712056837,5.454352975691285e-14,31.776286590286883,0.24000003429789837,0.004346686492350024,0.5695150033649626
3,0,2.266649113190334,2.4416478996820903,0.40650801052943797,0.01920005056964724,1.9956267027491312e-32,0.04521266394701322
3,1,2.164500166774371,35.986343146936065,0.3889024007026647,0.03508216989416354,3.4823782103558716e-15,0.08261219688996108
4,0,2.7597461387268223,0.0024876577276731204,13.747671134907478,3.225311694842131e-12,0.07396926173704509,0.14793852347359474
4,1,2.6379645333241952,37.31785752508569,2.0690732477585723,2.463182017138137e-15,0.033939495082322926,0.06787899016464546
5,0,2.995252817344761,2.112262981929598,22.538144028412074,0.012217632470142974,0.008795833003121221,0.039185702645736294
5,1,2.9221033551761275,67.60986863381736,17.989945684578537,0.05910043879552501,5.120114050233313e-17,0.13917089794582713
6,0,3.5146057439904714,65.74040584373148,2.6924970858220543,0.018500908848245554,2.4348945949239143e-15,0.04356631100714152
6,1,3.5066209758433655,0.32870121720367507,20.137286175769244,0.00045725804449443954,0.12553773872331708,0.25101303324995644
7,0,3.6710012041958953,21.009127395958114,1.602287826432893,0.013238474711417496,0.013474264433679045,0.04796500239185886
7,1,3.6215003749911854,47.8192425418401,9.342045857017753,0.19419486735561217,1.529195970610299e-31,0.4572939662911219
8,0,4.240880884224246,40.35015024496344,3.1632534645206696,0.02095091246066975,0.007116909155661413,0.05711075962612779
8,1,4.132711084347123,2.0905697189147947,9.556394360413655,0.11998598198641024,0.00217339975858366,0.28472450973973956
9,0,4.623050425895797,5.231184074165262e-14,1.1088966154312514,0.020772002013215215,0.0015335686817483185,0.050477124703338656
9,1,4.478849133943081,2.591529117496759e-17,45.71089404780644,0.31500004492162864,0.17647101237611415,0.9442600054834515
10,0,4.73862858620222,27.914831047199293,1.6758704144540293,0.03104327689720404,7.614548407588715e-12,0.07310133070857555
10,1,4.880991153307568,0.000695405156062959,0.3686185254593634,0.039018298519393084,2.524728037169097e-12,0.09188107147898594
11,0,5.052240099257003,2.952967994480445e-10,5.796959513694029,0.042977521407333456,0.02584292125627524,0.13110789474355858
11,1,5.16650059577933,8.334166609223073e-08,40.769232537916004,0.2800000400140209,0.016887083295369032,0.6764919061421383
12,0,5.20146314893693,4.251080885872129e-14,4.5044224235368855,0.022568357389321118,6.469523610839724e-27,0.053144420363795714
12,1,5.161662688221902,4.2510808889556166e-14,5.506123497254213,0.033323488690527724,9.333007691358659e-24,0.07847081913881683
