peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8375001200433967,0.021420747856985223,574.4522958896409,1.8289002558092613
1,2.122500160772163,0.021571895871190794,412.32075626448864,4.27984732222197
2,2.3475001929264527,0.0678505320576952,79.22132993368245,0.581978762933752
3,2.707500244373316,0.03898999408823123,174.72531112963253,1.1876292468604692
4,3.0025002865311614,0.025575624375076877,1249.994727842964,3.2297451090662808
5,3.5225003608432974,0.03391204735448072,327.0110688100358,1.253392689469021
6,3.67750038299403,0.04900576523675415,148.10022081969583,1.7738397149437373
7,4.252500465166103,0.03948149038905058,250.91022452227895,3.1098060656012096
8,4.632500519471126,0.16477208391695708,121.2241143663822,4.934811022741677
9,5.207500601643198,0.048688740478876724,234.26709215800372,63.87842709559052
