peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8375001200433967,0.019134942037369873,578.2320163073457,1.8604073893478175
1,2.122500160772163,0.02239577352136335,432.7081154184282,16.350507072147252
2,2.4975002143626455,0.0711132066823672,54.628690502755205,0.8236977974577927
3,2.662500237942458,0.045477392294843266,39.61587054662414,0.05383269196810505
4,2.752500250804174,0.02499843253981382,67.52241640872307,0.313619663044164
5,3.0025002865311614,0.02340312910413278,1465.604438518675,6.639814213757243
6,3.5175003601287576,0.02933396693275947,331.98031007774557,6.332492824388651
7,3.67750038299403,0.034569709131343274,162.3722979386305,1.2507487895987643
8,4.247500464451563,0.03291151920479152,285.5102992253769,1.2477503953823523
9,4.247500464451563,0.03580776773492644,285.5102992253769,0.6657372170305783
10,4.752500536620079,0.15734984655258089,122.00868470318562,4.696577405128729
11,5.032500576634306,0.12769633372467748,70.81641152721363,0.8162591062234908
12,5.2025006009286585,0.03970626470632066,297.7882993630046,201.96222048817526
