peak,curve,x0,y0,I,alpha,gamma,FWHM
0,0,1.7951635186613166,8.991363431004473,5.464403640755026,0.0067371951618486695,0.00585408804712333,0.022984255681057213
0,1,1.7842404420780102,0.0377785306568185,0.45944494841358796,0.011068316292029564,1.97044979163694e-34,0.026063893069213848
1,0,2.0403476646023933,3.333762658345456e-32,4.866797346428011,0.08400743735972747,1.3346343281942056e-12,0.19782239742769905
1,1,2.1501415108037625,1.4108108268343825e-34,16.571750896209338,0.39940303028447566,4.672194323400486e-12,0.9405222617646457
2,0,2.3964278272017725,3.100075017763248,0.03169271733611315,0.0087460930053472,1.0066027204027067e-35,0.020595475124696564
2,1,2.3615592683491475,11.833345757970909,0.03506773230741717,0.01940518546330393,4.946246158884385e-35,0.04569571970653128
3,0,2.4147502025370127,4.081240368376799e-05,7.291199543569414,0.04723837587962149,0.25499955146189196,0.5353191385273758
3,1,2.453879504993964,5.4354627835597,0.06641517715888094,0.018204722348359383,3.0672482080577856e-37,0.04286884510013957
4,0,2.9297215408659327,1.2088116599659694e-10,45.79645964081577,0.008607739208469776,0.011257833867935291,0.03489773547560794
4,1,3.1669200604060417,7.973089229505079e-12,22.770813141487768,0.2633192059633863,7.779031126895216e-17,0.6200693444442154
5,0,3.438604285986374,21.78500111161187,5.54367545443952,1.83850899383357e-15,0.025926285267622595,0.051852570535244905
5,1,3.5858744217474516,0.10893665358452997,8.212439515625968,4.51942419273713e-19,0.11091426514750813,0.22182853029501626
6,0,4.153014610371304,8.40966046806901,7.805855568913586,0.02411585265938662,0.010869199172219325,0.06897071002292568
6,1,4.0471213345757535,0.00032677531763785023,5.440427605656774,0.08815563951967495,0.10739343638285322,0.3454420308059739
7,0,4.51976734177026,1.9753246606716612,0.9710697435844885,0.022741918918458903,1.600307424233254e-14,0.053553126531671554
7,1,4.389595484770349,7.886092134797268,9.61113797701891e-15,0.2900000413433075,0.2900000413433075,1.0432660008316046
8,0,5.082005362410654,3.913617011362256e-35,27.97883002163418,0.012988362910585144,0.030486301626205036,0.07465118051865045
8,1,4.945434542398642,1.9492940727946218e-38,11.180544084509005,0.023539566176967647,0.07343142719430579,0.16719691522919689
