peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7925001136125387,0.025395682818976972,156.7811000218241,1.0574363219500587
1,2.1825001693466404,0.025550937100693005,298.1415421758441,6.399460070137892
2,2.4625002093608668,0.0556410341338851,24.62711289817679,1.828745135417844
3,2.682500240800617,0.04416475580501977,12.823684460771744,0.6679537297356322
4,2.9275002758130655,0.03618811186968651,921.6124692727626,47.001700663654496
5,3.4375003486961213,0.06351896375845323,84.27102304630063,1.9386477177041794
6,3.817500403001143,0.0490859508540642,67.67357784489087,1.6757086101046161
7,4.152500450875308,0.08021671278068965,104.5881159602618,3.14090221322663
8,4.372500482315057,0.05334443638892861,58.53065136253605,8.81601033061335
9,5.082500583779704,0.07965741104103508,252.02994741303104,28.120252319206084
