peak,curve,x0,y0,I,alpha,gamma,FWHM
0,0,1.8377964469228238,29.827977385061924,18.482019282396962,0.006315369340948959,0.0065784388972718,0.02309964186179802
0,1,2.051750150661425,2.900376168795875,36.99847097610978,2.970623077239549e-07,0.21955770271271954,0.43911535979564426
1,0,2.1232622278705358,59.18904591329896,11.580721692293205,0.00711501034393798,0.0035638690409350287,0.02079303340505015
1,1,2.100640773595003,0.00016673549068341723,6.840039316472045,1.2574004642680926e-10,0.053254877240009185,0.10650975446070347
2,0,2.3794517866147435,7.380680760797087,0.08903550580955075,0.011405697543715258,3.5452535547056253e-32,0.02685836520350095
2,1,2.3474248512379536,45.39753699040199,1.7067749418139617,0.1020809802745753,2.2914667923651816e-08,0.2403823614176664
3,0,2.456182615615357,0.24049781680882842,0.07229663436815459,0.012032174060714183,4.02308976780307e-30,0.028333604663471193
3,1,2.4296803668256888,56.437428640014424,0.020383794195500276,0.008327353377858731,3.7966986317311424e-14,0.01960941865627579
4,0,2.506585568042423,0.0019247673905725764,0.0016984492867828326,0.007026823852652385,0.00013340818211471833,0.016680699288130284
4,1,2.5171024808043763,56.82684357247044,8.732536752785974e-05,0.0005796254323981092,7.162608558305987e-06,0.0013720827177752975
5,0,2.607043866938053,55.61132437817369,0.4473418546558558,0.003031683244400871,0.013988176547440515,0.029864595946610558
5,1,2.556266093380563,0.18505622665793245,0.02505683353141148,0.011340856604228365,2.0445941795431355e-18,0.026705676459458576
6,0,2.7044640560696878,31.838975533917655,0.3019670305135726,0.016320195431564623,9.069718465209281e-35,0.0384311233410709
6,1,2.7327637474726045,4.6621854998451114e-05,17.593234897696824,0.15999125483979684,0.11698497563613706,0.5155672688211443
7,0,3.008313358155447,0.5258079157848119,11.852905699420244,0.007813421896416284,0.0006587598439078683,0.019072527440679988
7,1,2.9992344932289625,57.85126833392319,40.154241342150385,1.3099263485310946e-22,0.011715304685852893,0.02343060937170579
8,0,3.524300172132497,82.07740603080282,14.159548479077124,0.004606871613885776,0.013596468361297779,0.0313395708811216
8,1,3.6754011912916065,0.7555638195969433,5.903438360397503,5.050552877519817e-26,0.0239781560624034,0.0479563121248068
9,0,4.093438722807645,3.978911045939673e-06,0.03226732143429917,0.013307742073175264,0.00829474768517038,0.040977807713701186
9,1,4.05024773481277,74.87688918017126,1.5667716379362948,0.08374226237193412,4.554554252996599e-08,0.19719800346805005
10,0,4.259994277817582,63.89697716333681,4.849774913148715,0.012000063064576409,8.726666972449048e-14,0.02825798904618708
10,1,4.242284516663684,0.10024460133095062,8.893055527962709,2.9403852752108683e-18,0.027804087148737916,0.05560817429747583
11,0,4.631399278554173,1.5135450723022985,5.243867728591947,0.01173211276746742,0.013498216841005682,0.04478744012764501
11,1,4.755670451679762,46.70181242172055,3.5972312242202062,0.019423840465514507,2.094877738969746e-37,0.045739648879676846
12,0,5.20539422194206,1.3959704551803143e-17,10.858938946337899,0.020137875163167313,1.63023070416377e-22,0.04742107209855729
12,1,5.0372732135554585,2.024028470376378e-19,27.201889306985162,0.18369506439564962,1.992536018654532e-11,0.4325688198319965
