peak,curve,x0,y0,I,alpha,gamma,FWHM
0,0,1.8371707148624292,53.52944422124496,9.720777781857002,0.008878273811014543,0.009059140603891305,0.032200189578738096
0,1,1.808115553456147,0.26763549664411446,0.5690179707858662,0.017708409364664956,3.129602712376786e-13,0.041700117337838905
1,0,2.125356153022639,63.81664808180281,14.06742578068705,0.003674796111160437,0.01123151382696382,0.0256864183150695
1,1,2.2028882148544726,0.13972838020124745,2.283982023304961,0.008875211174011632,0.0023771910721761638,0.023451294919262313
2,0,2.4935355013701086,6.172348079581317,1.4560691652964284,0.002840767922914837,0.01722220152475269,0.03579670352845971
2,1,2.4591581688737443,39.48455461093631,0.45598424747080774,5.5906156302778446e-11,0.013645512333526575,0.027291024658465418
3,0,2.706466967307616,0.06941224985686581,2.819990123032396,0.017741503794818574,0.007061958264364375,0.04959942856440339
3,1,2.7246402377092016,25.40601974079479,19.574032746075474,0.18499915350013757,0.18500000492502933,0.6655298444322745
4,0,3.0063759157175847,0.9971867446720936,60.269394102315424,5.037206037758143e-15,0.028405803414015385,0.05681160682802999
4,1,3.0981296058561316,50.839901613664736,5.596635511840107,0.012047673746326952,9.564205643379137e-16,0.028370103633844776
5,0,3.5205938811173425,0.09065432312496141,8.214720535133042,4.980677020804428e-19,0.02445426504287986,0.04890853008575972
5,1,3.6956881354592035,72.32741218309552,18.991776878802515,1.666083570230047e-24,0.1504797402826523,0.3009594805653046
6,0,4.250682497391653,1.8328665069094376,11.26355092800479,1.964639417378374e-22,0.032576681692994824,0.06515336338598965
6,1,3.99887048853322,44.39711342349263,43.97429150487923,0.14523619104197075,0.21918814170441786,0.6341082102287166
7,0,5.2006391230351445,0.8230123542779069,3.237270030183519,0.021093269855678835,4.102641887014647e-31,0.049670854671399596
7,1,5.077804771865518,18.473901390267628,20.841795801917474,1.355816666977907e-25,0.13374851786339928,0.26749703572679856
