peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7975001143270786,0.02986361209002575,117.23969533023211,3.3402125520186905
1,2.077500154341305,0.1526676564426377,54.90249695245433,4.6025440989028334
2,2.932500276527605,0.03919387876069136,1023.9533089754214,16.609811811130452
3,3.2375003201145307,N/A,29.691546414782522,0.3169788702039698
4,3.447500350125201,0.04674904940135782,90.01628442291673,1.0363152148492396
5,3.5825003694177746,N/A,43.68609166831061,1.860535921392819
6,4.167500453018927,0.04807418603237856,162.90429543074163,0.9736343139229022
7,4.517500503036711,0.06312995493048845,26.62876269907241,2.52423021126542
8,4.652500522329284,0.07476739094020601,13.415317011792524,1.9472646402478748
9,5.0875005844942445,0.08009646911641521,267.66941937008215,26.414881817961028
