peakNumber,peakLocation,FWHM,intensity,% Error
0,1.827500118614317,0.04078253676862875,199.91845396195646,1.7775236901999047
1,2.1125001593430834,0.05885601548392039,104.3826307569409,1.7642585576032144
2,2.9175002743839857,N/A,486.5188625323106,0.9973662256208012
3,2.9875002843875422,N/A,401.3788514419588,1.4395967772202976
4,3.512500359414218,0.1262760827072329,130.0611548031385,3.236371054188556
5,3.6675003815649503,N/A,84.25065327484884,0.2229157732887455
6,4.127500447302609,N/A,96.03571846956117,2.4901441915277167
7,4.227500461593404,N/A,85.32717480007665,0.7989182450130031
8,4.617500517327506,0.16537311226349605,40.266701107611254,1.3499737601259778
9,4.732500533761921,N/A,33.27694980870325,0.5732619865191525
10,5.062500580921545,0.20290963263315298,158.26563096835065,42.43599869155908
