peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7975001143270786,0.08269964881367109,39.572510696616234,3.0405337797517253
1,2.047500150054067,0.1740569404403003,54.894663172811136,4.7902667036764
2,2.60750023008252,0.04262492386532735,31.458370052893713,0.5003926129357297
3,2.702500243658776,0.03729914543468382,32.29325641702309,0.5933174849934317
4,2.9125002736694463,0.05335933703790996,572.7338277052096,5.445756573480157
5,3.4375003486961213,N/A,46.60526503260752,2.145139174355204
6,3.5225003608432974,N/A,44.89771310873232,1.9918093878836987
7,4.122500446588069,0.08590370919109347,75.03909603730443,3.9777363576616285
8,4.507500501607631,0.13145589943614588,16.415296463033656,3.2031246997573897
9,5.062500580921545,0.1302335500459657,169.59872740856758,26.643297508665086
