peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8325001193288568,0.03284336345695582,222.24085266941245,2.1014682907322775
1,2.1175001600576238,0.0395237234641006,129.22650727867045,2.8767027401830694
2,2.9125002736694463,N/A,311.96971708677074,1.7876857357247569
3,2.9925002851020825,0.05044312400889561,459.4568910266462,0.8911466551614375
4,3.512500359414218,0.06747606737811651,158.57532844491328,2.066240335699485
5,3.6725003822794906,N/A,101.43511302943715,0.3628141239477541
6,4.122500446588069,N/A,82.70645497745086,0.39012314443162344
7,4.237500463022484,0.09091483184836235,104.72699219408632,0.5601093569726765
8,4.622500518042045,0.28646018201626866,49.58052026146056,2.679331695661961
9,4.73750053447646,N/A,44.50033778441107,0.5407068592154324
10,5.062500580921545,N/A,117.12554731246303,1.041977908691815
11,5.192500599499579,N/A,99.02687554610866,36.16847836356688
